reference_id_code,parent_name,description_of_event,risk_theme,risk_subtheme
EXT-2025-79665,Acme Vendor Corp,Acme Vendor Corp experienced a service disruption leading to data exposure. Root cause linked to general.,Third-Party Vendor,General
EXT-2025-33941,Global Payments Ltd,Global Payments Ltd experienced a service disruption leading to delayed settlements. Root cause linked to general.,Third-Party Vendor,General
EXT-2025-89798,Global Payments Ltd,Global Payments Ltd experienced a service disruption leading to data exposure. Root cause linked to single point of failure.,Operational Resilience,Single Point of Failure
EXT-2025-63151,EuroTrade Clearing SA,EuroTrade Clearing SA experienced a security incident leading to failed end-of-day processing. Root cause linked to general.,Data Quality  Integrity,General
EXT-2025-87804,FinPay Services AG,FinPay Services AG experienced an operations failure leading to failed end-of-day processing. Root cause linked to general.,AML Sanctions,General
EXT-2025-91932,CloudCompute Inc.,CloudCompute Inc. experienced a service disruption leading to data exposure. Root cause linked to bcp gap.,Operational Resilience,BCP Gap
EXT-2025-41430,NorthBridge Bank plc,NorthBridge Bank plc experienced a security incident leading to failed end-of-day processing. Root cause linked to config drift.,Technology Change,Config Drift
EXT-2025-22849,EuroTrade Clearing SA,EuroTrade Clearing SA experienced an operations failure leading to delayed settlements. Root cause linked to record retention.,Regulatory Compliance,Record Retention
EXT-2025-86570,Acme Vendor Corp,Acme Vendor Corp experienced an operations failure leading to data exposure. Root cause linked to data breach.,Cybersecurity,Data Breach
EXT-2025-43171,FinPay Services AG,FinPay Services AG experienced a security incident leading to delayed settlements. Root cause linked to single point of failure.,Operational Resilience,Single Point of Failure
EXT-2025-28812,EuroTrade Clearing SA,EuroTrade Clearing SA experienced an operations failure leading to failed end-of-day processing. Root cause linked to general.,AML Sanctions,General
EXT-2025-69983,EuroTrade Clearing SA,EuroTrade Clearing SA experienced a service disruption leading to data exposure. Root cause linked to data breach.,Cybersecurity,Data Breach
EXT-2025-29410,Acme Vendor Corp,Acme Vendor Corp experienced a service disruption leading to data exposure. Root cause linked to config drift.,Technology Change,Config Drift
EXT-2025-41632,EuroTrade Clearing SA,EuroTrade Clearing SA experienced a security incident leading to failed end-of-day processing. Root cause linked to conflicts of interest.,Conduct & Culture,Conflicts of Interest
EXT-2025-22074,EuroTrade Clearing SA,EuroTrade Clearing SA experienced a service disruption leading to data exposure. Root cause linked to capacity/scaling.,Operational Resilience,Capacity/Scaling
EXT-2025-31561,Global Payments Ltd,Global Payments Ltd experienced a service disruption leading to delayed settlements. Root cause linked to record retention.,Regulatory Compliance,Record Retention
EXT-2025-13663,NorthBridge Bank plc,NorthBridge Bank plc experienced a service disruption leading to failed end-of-day processing. Root cause linked to change collision.,Technology Change,Change Collision
EXT-2025-80711,CloudCompute Inc.,CloudCompute Inc. experienced a security incident leading to failed end-of-day processing. Root cause linked to single point of failure.,Operational Resilience,Single Point of Failure
EXT-2025-40213,Global Payments Ltd,Global Payments Ltd experienced a security incident leading to failed end-of-day processing. Root cause linked to reporting error.,Regulatory Compliance,Reporting Error
EXT-2025-92325,Acme Vendor Corp,Acme Vendor Corp experienced a service disruption leading to data exposure. Root cause linked to general.,Data Quality  Integrity,General
EXT-2025-69541,CloudCompute Inc.,CloudCompute Inc. experienced a security incident leading to delayed settlements. Root cause linked to release regression.,Technology Change,Release Regression
EXT-2025-32362,Acme Vendor Corp,Acme Vendor Corp experienced a service disruption leading to delayed settlements. Root cause linked to sales practice.,Conduct & Culture,Sales Practice
EXT-2025-40832,CloudCompute Inc.,CloudCompute Inc. experienced a security incident leading to delayed settlements. Root cause linked to single point of failure.,Operational Resilience,Single Point of Failure
EXT-2025-68134,Global Payments Ltd,Global Payments Ltd experienced a service disruption leading to failed end-of-day processing. Root cause linked to inappropriate communication.,Conduct & Culture,Inappropriate Communication
EXT-2025-88128,Global Payments Ltd,Global Payments Ltd experienced a security incident leading to failed end-of-day processing. Root cause linked to sales practice.,Conduct & Culture,Sales Practice
EXT-2025-66163,Acme Vendor Corp,Acme Vendor Corp experienced a service disruption leading to failed end-of-day processing. Root cause linked to general.,Third-Party Vendor,General
EXT-2025-15229,EuroTrade Clearing SA,EuroTrade Clearing SA experienced a service disruption leading to delayed settlements. Root cause linked to conflicts of interest.,Conduct & Culture,Conflicts of Interest
EXT-2025-31457,EuroTrade Clearing SA,EuroTrade Clearing SA experienced an operations failure leading to failed end-of-day processing. Root cause linked to ransomware.,Cybersecurity,Ransomware
EXT-2025-13946,FinPay Services AG,FinPay Services AG experienced a security incident leading to failed end-of-day processing. Root cause linked to ransomware.,Cybersecurity,Ransomware
EXT-2025-18915,FinPay Services AG,FinPay Services AG experienced a security incident leading to data exposure. Root cause linked to record retention.,Regulatory Compliance,Record Retention
EXT-2025-88906,EuroTrade Clearing SA,EuroTrade Clearing SA experienced a security incident leading to data exposure. Root cause linked to general.,AML Sanctions,General
