issue_id,issues_type,issue_title,risk_theme,risk_subtheme
ISS-2025-43923,Risk Assessment Action,Risk Assessment Action: Threshold investigation report gap,Model Risk,Calibration Error
ISS-2025-92124,Incident Post-Mortem Action,Incident Post-Mortem Action: Manual integration process gap,Data Quality  Integrity,General
ISS-2025-81488,Regulatory Finding,Regulatory Finding: Validation exception control gap,Fraud & Financial Crime,Account Takeover
ISS-2025-21684,Audit Finding,Audit Finding: Timeout retry feed gap,Third-Party Vendor,General
ISS-2025-97902,Risk Assessment Action,Risk Assessment Action: Integration workflow process gap,Technology Change,Failed Deployment
ISS-2025-67950,Audit Finding,Audit Finding: Investigation alert process gap,Conduct & Culture,Conflicts of Interest
ISS-2025-78016,Incident Post-Mortem Action,Incident Post-Mortem Action: Gateway manual report gap (Remediation),Technology Change,Failed Deployment
ISS-2025-78362,Risk Assessment Action,Risk Assessment Action: Reference misconfiguration report gap,Fraud & Financial Crime,Internal Fraud
ISS-2025-58218,Policy Exception,Policy Exception: Payment reconciliation process gap (Remediation),Regulatory Compliance,KYC/CDD Gap
ISS-2025-41585,Policy Exception,Policy Exception: Breach timeout control gap – Phase 1,Fraud & Financial Crime,Check Fraud
ISS-2025-35354,Policy Exception,Policy Exception: Onboarding threshold control gap – Phase 1,Data Quality  Integrity,General
ISS-2025-16983,Risk Assessment Action,Risk Assessment Action: Breach exception feed gap,Third-Party Vendor,General
ISS-2025-32564,Audit Finding,Audit Finding: Dataset queue process gap – v2,Cybersecurity,Ransomware
ISS-2025-80052,Regulatory Finding,Regulatory Finding: Control investigation feed gap,Fraud & Financial Crime,Check Fraud
ISS-2025-75573,Audit Finding,Audit Finding: Exception policy feed gap – Phase 1,AML Sanctions,General
ISS-2025-83922,Risk Assessment Action,Risk Assessment Action: Exception policy control gap – Pilot,Data Quality  Integrity,General
ISS-2025-42961,Audit Finding,Audit Finding: Retry gateway control gap (Remediation),Data Quality  Integrity,General
ISS-2025-17408,Regulatory Finding,Regulatory Finding: Investigation timeout feed gap,Conduct & Culture,Inappropriate Communication
ISS-2025-84034,Risk Assessment Action,Risk Assessment Action: Batch control control gap,Regulatory Compliance,KYC/CDD Gap
ISS-2025-40430,Process Gap,Process Gap: Policy control process gap,Fraud & Financial Crime,Check Fraud
ISS-2025-55018,Incident Post-Mortem Action,Incident Post-Mortem Action: Queue queue control gap – Phase 1,Cybersecurity,Phishing
ISS-2025-50971,Policy Exception,Policy Exception: Alert reference report gap (Interim),Conduct & Culture,Inappropriate Communication
ISS-2025-51159,Incident Post-Mortem Action,Incident Post-Mortem Action: Misconfiguration override report gap,AML Sanctions,General
ISS-2025-28547,Incident Post-Mortem Action,Incident Post-Mortem Action: Timeout security report gap (Remediation),Technology Change,Change Collision
ISS-2025-58227,Audit Finding,Audit Finding: Security alert report gap,Model Risk,Calibration Error
ISS-2025-81808,Audit Finding,Audit Finding: Automated customer report gap,Model Risk,Validation Finding
ISS-2025-19363,Audit Finding,Audit Finding: Latency validation report gap,Cybersecurity,Ransomware
ISS-2025-94956,Policy Exception,Policy Exception: Latency onboarding report gap,Regulatory Compliance,Reporting Error
ISS-2025-50934,Incident Post-Mortem Action,Incident Post-Mortem Action: Queue queue feed gap (Interim),Technology Change,Change Collision
ISS-2025-55607,Regulatory Finding,Regulatory Finding: Automated reconciliation feed gap (Remediation),Fraud & Financial Crime,Card-Not-Present
ISS-2025-68991,Risk Assessment Action,Risk Assessment Action: Payment dataset control gap – v2,AML Sanctions,General
ISS-2025-87816,Risk Assessment Action,Risk Assessment Action: Retry latency process gap,Technology Change,Failed Deployment
ISS-2025-94645,Policy Exception,Policy Exception: Reconciliation alert feed gap,Cybersecurity,Phishing
ISS-2025-82852,Risk Assessment Action,Risk Assessment Action: Investigation latency control gap – Pilot,Technology Change,Config Drift
ISS-2025-86838,Process Gap,Process Gap: Alert automated control gap,Operational Resilience,Capacity/Scaling
ISS-2025-20925,Incident Post-Mortem Action,Incident Post-Mortem Action: Control automated feed gap,Regulatory Compliance,MiFID II Breach
ISS-2025-33023,Policy Exception,Policy Exception: Validation timeout feed gap,Model Risk,Concept Drift
