loss_id,event_date,discovery_date,book_date,business_unit,process,country,currency,event_type,event_subtype,cause_category,issue_id,control_id,gross_loss_amount,recovery_amount,net_loss_amount,vendor_involved,third_party_name,description,legal_entity,scenario_tag,external_event_link_id,nfr_taxonomy
IL-300160,2025-03-18,2025-05-07,2025-05-29,Personal & Corporate Banking,Retail Lending,DE,EUR,Internal Fraud,Misselling by Staff,Control Breakdown,ISS-200184,CTRL-100891,39404.87,0.0,39404.87,False,,"This narrative compiles operational details from records, audit notes, and workflow evidence. Moreover: Internal event categorized as Internal Fraud / Misselling by Staff in Personal & Corporate Banking (Retail Lending). process integrity risk was evaluated through verification and calibration. [glyph-kora-ddf15056] In addition: Amounts recorded in EUR; references control CTRL-100891 and issue ISS-200184. operational exposure was evaluated through assessment and verification. [tag-silo-7786483c] Accordingly: corrective step interacted with transaction feed; field validation and vendor interface were considered by the oversight session. No personal data is included. [beacon-kora-0a6b95af] Separately: exception filter interacted with input register; field validation and external provider were considered by the control council. No customer PII is contained. [tag-yuno-ddf15056] In addition: manual verification interacted with data lineage; threshold tuning and outsourced process were considered by the oversight session. Content avoids client‑specific identifiers. [glyph-cira-7786483c] In addition: corrective step interacted with transaction feed; threshold tuning and external provider were considered by the risk committee. No customer PII is contained. [label-kora-f63ea3f9] Accordingly: manual verification interacted with input register; threshold tuning and third‑party service were considered by the oversight session. Content avoids client‑specific identifiers. [marker-evi-7c9d3a90] Moreover: preventive check interacted with transaction feed; record completeness and external provider were considered by the risk committee. No customer PII is contained. [marker-bora-11f8ab1b] In addition: preventive check interacted with reference dataset; field validation and external provider were considered by the assurance review. No customer PII is contained. [glyph-bora-bde8d48b] Notably: exception filter interacted with audit trail; threshold tuning and vendor interface were considered by the control council. No personal data is included. [trace-voro-1b11a1b6] Subsequently: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform calibration and scenario analysis. [glyph-bora-05dfd52b] Accordingly: uniqueness note label-bora-e40a17d1 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS AG,Trade Breaks,EL-400010,DataQuality
IL-300161,2024-06-13,2024-06-14,2024-06-20,Technology,Batch Processing,IN,INR,External Fraud,Card Skimming,Process Failure,,CTRL-100529,3440.64,0.0,3440.64,False,,"The description outlines context, execution steps, observations, and management actions. Moreover: Internal event categorized as External Fraud / Card Skimming in Technology (Batch Processing). operational exposure was evaluated through attestation and segmentation. [beacon-jara-ba6a1e71] Moreover: Amounts recorded in INR; references control CTRL-100529 and issue nan. process integrity risk was evaluated through triage and attestation. [beacon-alba-8ab7c07b] Furthermore: automated gate interacted with transaction feed; field validation and external provider were considered by the governance forum. Content avoids client‑specific identifiers. [beacon-iora-3311110c] Meanwhile: exception filter interacted with data lineage; parameter governance and external provider were considered by the assurance review. No client identifiers are present. [tag-silo-ba6a1e71] In addition: manual verification interacted with reference dataset; data quality and vendor interface were considered by the assurance review. Content avoids client‑specific identifiers. [anchor-tiva-8ab7c07b] Subsequently: corrective step interacted with data lineage; data quality and outsourced process were considered by the oversight session. Content avoids client‑specific identifiers. [glyph-tiva-aefa8e32] Separately: manual verification interacted with case ledger; parameter governance and third‑party service were considered by the oversight session. No customer PII is contained. [label-alba-517af2c4] Furthermore: manual verification interacted with audit trail; parameter governance and vendor interface were considered by the oversight session. No customer PII is contained. [label-iora-d2e3e500] Separately: detective review interacted with transaction feed; threshold tuning and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [glyph-faro-17f0d4f0] Notably: preventive check interacted with input register; threshold tuning and third‑party service were considered by the control council. No client identifiers are present. [glyph-alba-4c46685c] Accordingly: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform reconciliation and scenario analysis. [anchor-quro-3b166581] In addition: uniqueness note tag-orla-b9491bfb ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS UK,System Outage,,DataPrivacy
IL-300162,2023-02-16,2023-03-15,2023-03-30,Technology,Change Management,IN,INR,External Fraud,Card Skimming,Process Failure,,CTRL-100328,623.73,0.0,623.73,True,CloudX,"The description outlines context, execution steps, observations, and management actions. Accordingly: Internal event categorized as External Fraud / Card Skimming in Technology (Change Management). non‑financial risk was evaluated through attestation and triage. [beacon-tiva-98e99a28] Furthermore: Amounts recorded in INR; references control CTRL-100328 and issue nan. process integrity risk was evaluated through verification and simulation. [beacon-bora-4a050099] Meanwhile: preventive check interacted with case ledger; parameter governance and third‑party service were considered by the control council. No client identifiers are present. [marker-risa-3724cab8] Moreover: automated gate interacted with data lineage; data quality and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [trace-luna-98e99a28] Moreover: manual verification interacted with reference dataset; parameter governance and external provider were considered by the risk committee. No client identifiers are present. [beacon-voro-4a050099] In addition: corrective step interacted with data lineage; threshold tuning and external provider were considered by the control council. No client identifiers are present. [anchor-jara-8d62cb50] Subsequently: exception filter interacted with reference dataset; data quality and external provider were considered by the governance forum. No personal data is included. [beacon-silo-1050cc08] Notably: manual verification interacted with reference dataset; record completeness and third‑party service were considered by the governance forum. No client identifiers are present. [tag-orla-e825b39b] Accordingly: manual verification interacted with data lineage; field validation and external provider were considered by the governance forum. Content avoids client‑specific identifiers. [glyph-daro-e738b2ec] Accordingly: exception filter interacted with reference dataset; record completeness and outsourced process were considered by the oversight session. No customer PII is contained. [glyph-yuno-c87a15f6] Subsequently: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform validation and scenario analysis. [label-iora-223f707e] Meanwhile: uniqueness note trace-zari-1fcc5943 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS Europe SE,Trade Breaks,EL-400046,Cybersecurity
IL-300163,2022-10-28,2022-12-10,2022-12-16,Technology,Access Management,US,USD,Employment Practices and Workplace Safety,Compensation/Benefits,Control Breakdown,ISS-200838,CTRL-100944,6497.73,324.89,6172.84,False,,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. Separately: Internal event categorized as Employment Practices and Workplace Safety / Compensation/Benefits in Technology (Access Management). process integrity risk was evaluated through assessment and reconciliation. [label-niva-b7168ff3] Meanwhile: Amounts recorded in USD; references control CTRL-100944 and issue ISS-200838. operational exposure was evaluated through reconciliation and attestation. [token-quro-f237d44c] Furthermore: corrective step interacted with reference dataset; field validation and outsourced process were considered by the oversight session. No customer PII is contained. [tag-yuno-ed5daa43] In addition: exception filter interacted with case ledger; parameter governance and outsourced process were considered by the control council. No client identifiers are present. [anchor-luna-b7168ff3] Furthermore: manual verification interacted with data lineage; threshold tuning and third‑party service were considered by the risk committee. No customer PII is contained. [marker-kora-f237d44c] Subsequently: automated gate interacted with reference dataset; data quality and outsourced process were considered by the governance forum. No client identifiers are present. [marker-kora-8e240a4c] Notably: detective review interacted with case ledger; threshold tuning and external provider were considered by the risk committee. Content avoids client‑specific identifiers. [glyph-orla-ad1b6d3e] Furthermore: corrective step interacted with case ledger; data quality and third‑party service were considered by the governance forum. Content avoids client‑specific identifiers. [tag-daro-c96eb5bb] Moreover: detective review interacted with reference dataset; data quality and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [marker-faro-0174a58b] Furthermore: automated gate interacted with data lineage; threshold tuning and outsourced process were considered by the control council. Content avoids client‑specific identifiers. [label-risa-7ca9dd92] Meanwhile: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform triage and scenario analysis. [marker-silo-83dcd1b8] Subsequently: uniqueness note marker-voro-3278fc22 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS UK,System Outage,EL-400991,Cybersecurity
IL-300164,2023-07-24,2023-08-13,2023-08-30,Technology,Access Management,NL,EUR,"Execution, Delivery & Process Management",Settlement Failure,Control Breakdown,ISS-201326,CTRL-101184,48472.07,9694.41,38777.65,False,,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. Furthermore: Internal event categorized as Execution, Delivery & Process Management / Settlement Failure in Technology (Access Management). non‑financial risk was evaluated through benchmarking and validation. [token-hano-1844d740] In addition: Amounts recorded in EUR; references control CTRL-101184 and issue ISS-201326. process integrity risk was evaluated through validation and segmentation. [tag-bora-1995d0d9] Meanwhile: preventive check interacted with input register; field validation and third‑party service were considered by the governance forum. No personal data is included. [tag-alba-47ce9ea3] In addition: preventive check interacted with input register; record completeness and outsourced process were considered by the assurance review. No client identifiers are present. [beacon-zari-1844d740] Notably: exception filter interacted with input register; data quality and third‑party service were considered by the assurance review. No client identifiers are present. [token-evi-1995d0d9] In addition: exception filter interacted with case ledger; parameter governance and outsourced process were considered by the risk committee. No personal data is included. [beacon-quro-5ed720a6] Separately: preventive check interacted with case ledger; data quality and third‑party service were considered by the governance forum. No client identifiers are present. [token-zari-186c26c2] Notably: detective review interacted with reference dataset; parameter governance and third‑party service were considered by the control council. No personal data is included. [anchor-orla-9c77cbac] In addition: corrective step interacted with transaction feed; parameter governance and vendor interface were considered by the risk committee. No personal data is included. [marker-voro-07e779c5] Furthermore: corrective step interacted with case ledger; field validation and vendor interface were considered by the assurance review. No personal data is included. [glyph-luna-06add922] Accordingly: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform validation and scenario analysis. [glyph-alba-060fbe0c] Moreover: uniqueness note tag-voro-5e80b168 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS UK,KYC Backlog,EL-400910,DataQuality
IL-300165,2022-08-14,2022-08-19,2022-08-23,Asset Management,Portfolio Rebalancing,NL,EUR,Internal Fraud,Unauthorised Trading,Process Failure,ISS-201095,CTRL-101065,5806.38,0.0,5806.38,False,,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. Meanwhile: Internal event categorized as Internal Fraud / Unauthorised Trading in Asset Management (Portfolio Rebalancing). process integrity risk was evaluated through verification and triage. [label-cira-e8574157] Subsequently: Amounts recorded in EUR; references control CTRL-101065 and issue ISS-201095. operational exposure was evaluated through validation and benchmarking. [tag-tiva-b6a90a08] Notably: manual verification interacted with data lineage; data quality and third‑party service were considered by the governance forum. Content avoids client‑specific identifiers. [marker-pavo-216f75ae] In addition: manual verification interacted with data lineage; parameter governance and external provider were considered by the oversight session. No personal data is included. [token-faro-e8574157] Furthermore: exception filter interacted with case ledger; record completeness and outsourced process were considered by the oversight session. Content avoids client‑specific identifiers. [tag-bora-b6a90a08] Furthermore: exception filter interacted with audit trail; data quality and external provider were considered by the risk committee. Content avoids client‑specific identifiers. [token-orla-a8ab936b] Subsequently: exception filter interacted with input register; parameter governance and third‑party service were considered by the control council. No customer PII is contained. [label-cira-adb3f588] In addition: corrective step interacted with audit trail; record completeness and external provider were considered by the oversight session. No personal data is included. [marker-alba-f8584d8f] Accordingly: corrective step interacted with audit trail; data quality and external provider were considered by the control council. No client identifiers are present. [tag-alba-b2f93c75] Accordingly: corrective step interacted with transaction feed; field validation and outsourced process were considered by the oversight session. No personal data is included. [marker-gila-fd914da1] Accordingly: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform verification and scenario analysis. [beacon-gila-32d71d8f] Accordingly: uniqueness note marker-ura-26a35904 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS UK,Payments Failure,EL-400271,Cybersecurity
IL-300166,2022-11-16,2022-11-16,2022-11-19,Asset Management,Client Reporting,US,USD,Internal Fraud,Theft and Fraud,Process Failure,,CTRL-100555,2762.05,552.41,2209.64,False,,"This narrative compiles operational details from records, audit notes, and workflow evidence. Subsequently: Internal event categorized as Internal Fraud / Theft and Fraud in Asset Management (Client Reporting). operational exposure was evaluated through attestation and attestation. [token-hano-63ae35ce] In addition: Amounts recorded in USD; references control CTRL-100555 and issue nan. operational exposure was evaluated through benchmarking and segmentation. [tag-luna-54c75ebf] Separately: exception filter interacted with input register; record completeness and outsourced process were considered by the risk committee. No personal data is included. [trace-ura-92b1aee0] Moreover: detective review interacted with case ledger; field validation and third‑party service were considered by the assurance review. Content avoids client‑specific identifiers. [anchor-silo-63ae35ce] Notably: manual verification interacted with case ledger; record completeness and external provider were considered by the control council. No personal data is included. [marker-silo-54c75ebf] Accordingly: exception filter interacted with audit trail; record completeness and third‑party service were considered by the governance forum. No personal data is included. [marker-gila-2cc34931] Moreover: manual verification interacted with transaction feed; parameter governance and outsourced process were considered by the oversight session. No customer PII is contained. [beacon-yuno-d60d92c2] Notably: detective review interacted with data lineage; field validation and external provider were considered by the oversight session. Content avoids client‑specific identifiers. [token-luna-4d4e96ce] Moreover: corrective step interacted with data lineage; record completeness and outsourced process were considered by the assurance review. No client identifiers are present. [token-jara-e5b7b78d] In addition: corrective step interacted with audit trail; data quality and vendor interface were considered by the assurance review. No client identifiers are present. [marker-wila-5001b4aa] Accordingly: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform triage and scenario analysis. [beacon-zari-90ed4906] Accordingly: uniqueness note label-niva-6e690820 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS AG,Trade Breaks,EL-400457,Cybersecurity|MarketAbuseSurveillance
IL-300167,2024-07-11,2024-08-05,2024-08-11,Technology,Change Management,US,USD,External Fraud,Third-Party Fraud,Process Failure,ISS-200395,CTRL-100177,5308.91,1592.67,3716.23,True,CloudX,"The report provides background, process mechanics, exception patterns, and assurance perspectives. Meanwhile: Internal event categorized as External Fraud / Third-Party Fraud in Technology (Change Management). execution risk was evaluated through segmentation and validation. [token-daro-9a032ab4] Separately: Amounts recorded in USD; references control CTRL-100177 and issue ISS-200395. control posture was evaluated through triage and segmentation. [glyph-yuno-8b64ece0] Accordingly: manual verification interacted with reference dataset; field validation and third‑party service were considered by the governance forum. No personal data is included. [glyph-mira-97f64c16] Separately: exception filter interacted with audit trail; record completeness and vendor interface were considered by the governance forum. Content avoids client‑specific identifiers. [beacon-xera-9a032ab4] Notably: exception filter interacted with transaction feed; parameter governance and third‑party service were considered by the control council. No customer PII is contained. [glyph-evi-8b64ece0] In addition: automated gate interacted with reference dataset; parameter governance and external provider were considered by the oversight session. No customer PII is contained. [glyph-niva-5aee96a6] Moreover: detective review interacted with reference dataset; parameter governance and third‑party service were considered by the oversight session. Content avoids client‑specific identifiers. [glyph-alba-8fd1255b] Subsequently: automated gate interacted with input register; record completeness and outsourced process were considered by the control council. No client identifiers are present. [beacon-hano-8d4ac028] Meanwhile: corrective step interacted with data lineage; field validation and external provider were considered by the control council. Content avoids client‑specific identifiers. [tag-luna-6f9b95cf] Subsequently: exception filter interacted with case ledger; field validation and vendor interface were considered by the governance forum. No client identifiers are present. [glyph-quro-fd881fd5] Subsequently: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform reconciliation and scenario analysis. [beacon-iora-a4de3b26] In addition: uniqueness note token-hano-b60bd7bc ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS Europe SE,KYC Backlog,,BusinessContinuity|OperationalResilience
IL-300168,2022-02-20,2022-03-16,2022-03-31,Wealth Management,Advisory Suitability,CH,CHF,Business Disruption & System Failures,System Outage,Control Breakdown,,CTRL-100826,16783.56,1678.36,15105.2,False,,"This narrative compiles operational details from records, audit notes, and workflow evidence. Notably: Internal event categorized as Business Disruption & System Failures / System Outage in Wealth Management (Advisory Suitability). operational exposure was evaluated through attestation and simulation. [anchor-wila-31086aaa] Meanwhile: Amounts recorded in CHF; references control CTRL-100826 and issue nan. operational exposure was evaluated through simulation and segmentation. [label-ura-5feee9c1] In addition: preventive check interacted with case ledger; parameter governance and third‑party service were considered by the governance forum. Content avoids client‑specific identifiers. [token-zari-f911886f] Subsequently: corrective step interacted with input register; data quality and vendor interface were considered by the assurance review. Content avoids client‑specific identifiers. [marker-xera-31086aaa] In addition: detective review interacted with reference dataset; parameter governance and vendor interface were considered by the oversight session. Content avoids client‑specific identifiers. [label-tiva-5feee9c1] Notably: corrective step interacted with reference dataset; parameter governance and outsourced process were considered by the oversight session. No customer PII is contained. [glyph-hano-7393b6e8] Notably: detective review interacted with reference dataset; parameter governance and outsourced process were considered by the risk committee. No client identifiers are present. [tag-alba-64ef8fcf] Separately: manual verification interacted with audit trail; data quality and outsourced process were considered by the oversight session. No personal data is included. [tag-cira-96d89c0e] Accordingly: preventive check interacted with reference dataset; parameter governance and third‑party service were considered by the control council. No personal data is included. [tag-hano-34fc0f35] Moreover: detective review interacted with input register; parameter governance and outsourced process were considered by the assurance review. No customer PII is contained. [glyph-zari-c956eb52] Moreover: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform verification and scenario analysis. [token-pavo-607a3eb9] Subsequently: uniqueness note trace-orla-b4504b7a ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS UK,Trade Breaks,,MarketAbuseSurveillance
IL-300169,2023-11-19,2023-12-15,2024-01-06,Group Functions,Procurement,US,USD,"Clients, Products & Business Practices",Product Flaw Disclosure,Control Breakdown,,CTRL-100450,22268.08,6680.43,15587.66,False,,"This narrative compiles operational details from records, audit notes, and workflow evidence. Meanwhile: Internal event categorized as Clients, Products & Business Practices / Product Flaw Disclosure in Group Functions (Procurement). process integrity risk was evaluated through benchmarking and assessment. [glyph-yuno-eb8adc06] In addition: Amounts recorded in USD; references control CTRL-100450 and issue nan. non‑financial risk was evaluated through simulation and triage. [marker-voro-ab569e5b] Furthermore: corrective step interacted with input register; threshold tuning and outsourced process were considered by the oversight session. No customer PII is contained. [anchor-daro-98aba11e] In addition: corrective step interacted with transaction feed; record completeness and vendor interface were considered by the assurance review. No client identifiers are present. [trace-risa-eb8adc06] Furthermore: manual verification interacted with audit trail; record completeness and vendor interface were considered by the governance forum. Content avoids client‑specific identifiers. [glyph-ura-ab569e5b] In addition: exception filter interacted with audit trail; data quality and third‑party service were considered by the risk committee. No customer PII is contained. [token-quro-47333913] Subsequently: manual verification interacted with case ledger; parameter governance and outsourced process were considered by the assurance review. Content avoids client‑specific identifiers. [marker-zari-7b2efa44] Separately: preventive check interacted with data lineage; record completeness and third‑party service were considered by the control council. No customer PII is contained. [token-silo-0c736d4e] Furthermore: corrective step interacted with audit trail; threshold tuning and third‑party service were considered by the oversight session. No client identifiers are present. [marker-hano-06138f21] Notably: automated gate interacted with transaction feed; data quality and external provider were considered by the risk committee. No personal data is included. [tag-bora-d459e3a8] Subsequently: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform reconciliation and scenario analysis. [trace-cira-51b78bbc] Subsequently: uniqueness note trace-quro-b2d929c0 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS AG,KYC Backlog,,PhysicalSecurity
IL-300170,2024-09-26,2024-11-20,2024-12-05,Personal & Corporate Banking,Payments Processing,NL,EUR,External Fraud,Cyber Intrusion,Process Failure,,CTRL-100720,7833.33,1566.67,6266.66,True,CloudX,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. Meanwhile: Internal event categorized as External Fraud / Cyber Intrusion in Personal & Corporate Banking (Payments Processing). process integrity risk was evaluated through assessment and attestation. [label-hano-fbbebffd] In addition: Amounts recorded in EUR; references control CTRL-100720 and issue nan. control posture was evaluated through assessment and validation. [marker-orla-e556bec5] Accordingly: automated gate interacted with audit trail; parameter governance and external provider were considered by the assurance review. Content avoids client‑specific identifiers. [marker-daro-98cf6e93] Accordingly: detective review interacted with data lineage; record completeness and external provider were considered by the risk committee. No customer PII is contained. [marker-tiva-fbbebffd] Subsequently: automated gate interacted with transaction feed; data quality and third‑party service were considered by the governance forum. No client identifiers are present. [glyph-niva-e556bec5] Subsequently: automated gate interacted with audit trail; threshold tuning and vendor interface were considered by the control council. No personal data is included. [beacon-wila-62ac257f] Notably: automated gate interacted with data lineage; field validation and vendor interface were considered by the assurance review. No personal data is included. [tag-hano-d7d8ec18] Accordingly: corrective step interacted with input register; field validation and outsourced process were considered by the assurance review. Content avoids client‑specific identifiers. [label-yuno-2e05f965] Meanwhile: preventive check interacted with transaction feed; record completeness and outsourced process were considered by the governance forum. No customer PII is contained. [marker-faro-0a752867] Accordingly: manual verification interacted with data lineage; data quality and outsourced process were considered by the oversight session. No client identifiers are present. [beacon-faro-40dfc342] Separately: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform simulation and scenario analysis. [trace-jara-c8034ba1] Notably: uniqueness note glyph-faro-c2d0fe36 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS AG,System Outage,,PaymentsAndSettlement|ModelRisk
IL-300171,2023-05-02,2023-06-18,2023-06-19,Operations,Cash Reconciliation,FR,EUR,Employment Practices and Workplace Safety,Compensation/Benefits,Process Failure,ISS-200875,CTRL-100878,4430.0,0.0,4430.0,False,,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. Moreover: Internal event categorized as Employment Practices and Workplace Safety / Compensation/Benefits in Operations (Cash Reconciliation). process integrity risk was evaluated through assessment and segmentation. [label-gila-815f752f] Moreover: Amounts recorded in EUR; references control CTRL-100878 and issue ISS-200875. process integrity risk was evaluated through segmentation and reconciliation. [label-faro-f75e3431] Accordingly: exception filter interacted with transaction feed; record completeness and vendor interface were considered by the oversight session. No customer PII is contained. [anchor-cira-f9ad83ab] Meanwhile: corrective step interacted with reference dataset; threshold tuning and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [token-tiva-815f752f] Moreover: manual verification interacted with transaction feed; parameter governance and external provider were considered by the assurance review. No customer PII is contained. [beacon-jara-f75e3431] In addition: detective review interacted with case ledger; parameter governance and third‑party service were considered by the assurance review. No customer PII is contained. [anchor-iora-455eed33] Furthermore: manual verification interacted with audit trail; threshold tuning and third‑party service were considered by the risk committee. No client identifiers are present. [token-kora-e16e6626] Moreover: preventive check interacted with input register; parameter governance and third‑party service were considered by the assurance review. No customer PII is contained. [anchor-wila-4a606c33] Furthermore: exception filter interacted with audit trail; record completeness and third‑party service were considered by the governance forum. Content avoids client‑specific identifiers. [trace-pavo-64b2ce1b] Separately: manual verification interacted with data lineage; threshold tuning and vendor interface were considered by the risk committee. No personal data is included. [marker-bora-d202ec47] Separately: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform benchmarking and scenario analysis. [anchor-faro-8047ad4d] Moreover: uniqueness note token-wila-6650da20 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS UK,System Outage,,PaymentsAndSettlement|FinancialCrime
IL-300172,2023-10-25,2023-11-23,2023-12-11,Group Functions,Procurement,SG,SGD,Business Disruption & System Failures,System Outage,Process Failure,,CTRL-100034,5133.58,256.68,4876.9,False,,"The report provides background, process mechanics, exception patterns, and assurance perspectives. Subsequently: Internal event categorized as Business Disruption & System Failures / System Outage in Group Functions (Procurement). control posture was evaluated through calibration and attestation. [beacon-orla-67eea773] Moreover: Amounts recorded in SGD; references control CTRL-100034 and issue nan. process integrity risk was evaluated through assessment and reconciliation. [glyph-tiva-1fa6d86d] Accordingly: corrective step interacted with data lineage; parameter governance and third‑party service were considered by the risk committee. No personal data is included. [trace-iora-4f2d28fd] Furthermore: corrective step interacted with input register; record completeness and third‑party service were considered by the assurance review. No customer PII is contained. [anchor-faro-67eea773] In addition: exception filter interacted with input register; record completeness and vendor interface were considered by the oversight session. No personal data is included. [beacon-ura-1fa6d86d] Notably: exception filter interacted with transaction feed; threshold tuning and third‑party service were considered by the control council. Content avoids client‑specific identifiers. [tag-jara-1e9a59d6] Separately: manual verification interacted with input register; threshold tuning and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [glyph-quro-9093f158] In addition: corrective step interacted with case ledger; record completeness and outsourced process were considered by the oversight session. Content avoids client‑specific identifiers. [beacon-iora-614492d7] Separately: manual verification interacted with transaction feed; field validation and vendor interface were considered by the governance forum. No customer PII is contained. [glyph-pavo-321a02a3] Notably: preventive check interacted with audit trail; threshold tuning and outsourced process were considered by the assurance review. No client identifiers are present. [tag-silo-03da2b11] Moreover: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform reconciliation and scenario analysis. [trace-kora-f5751bc2] Notably: uniqueness note token-evi-95de74fc ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS Europe SE,Payments Failure,EL-400444,FinancialCrime|ITChangeManagement
IL-300173,2024-06-25,2024-08-20,2024-08-26,Asset Management,Portfolio Rebalancing,NL,EUR,"Execution, Delivery & Process Management",Data Entry Error,Process Failure,ISS-201248,CTRL-100996,4269.26,0.0,4269.26,False,,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. Accordingly: Internal event categorized as Execution, Delivery & Process Management / Data Entry Error in Asset Management (Portfolio Rebalancing). operational exposure was evaluated through validation and simulation. [tag-evi-bf466ca7] Subsequently: Amounts recorded in EUR; references control CTRL-100996 and issue ISS-201248. execution risk was evaluated through attestation and assessment. [label-iora-8d67774e] In addition: corrective step interacted with input register; field validation and external provider were considered by the risk committee. No personal data is included. [marker-bora-4c9f2d8a] Moreover: detective review interacted with data lineage; record completeness and external provider were considered by the assurance review. Content avoids client‑specific identifiers. [marker-zari-bf466ca7] Furthermore: corrective step interacted with case ledger; parameter governance and outsourced process were considered by the oversight session. Content avoids client‑specific identifiers. [beacon-iora-8d67774e] Meanwhile: preventive check interacted with transaction feed; record completeness and external provider were considered by the control council. Content avoids client‑specific identifiers. [beacon-tiva-096706a6] Accordingly: preventive check interacted with reference dataset; data quality and external provider were considered by the governance forum. No client identifiers are present. [marker-zari-1961a090] Accordingly: manual verification interacted with input register; threshold tuning and vendor interface were considered by the oversight session. No customer PII is contained. [marker-risa-e2d6ceeb] Meanwhile: corrective step interacted with transaction feed; threshold tuning and outsourced process were considered by the governance forum. No customer PII is contained. [token-kora-4bd21be9] In addition: exception filter interacted with input register; field validation and vendor interface were considered by the risk committee. Content avoids client‑specific identifiers. [glyph-alba-428068b1] Furthermore: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform calibration and scenario analysis. [token-cira-deb3fc4e] Accordingly: uniqueness note token-cira-6465c783 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS Europe SE,Trade Breaks,EL-400289,OperationalResilience
IL-300174,2021-04-23,2021-06-14,2021-07-06,Group Functions,Financial Reporting,FR,EUR,Internal Fraud,Unauthorised Trading,Control Breakdown,,CTRL-100314,25984.49,1299.22,24685.27,False,,"The report provides background, process mechanics, exception patterns, and assurance perspectives. Moreover: Internal event categorized as Internal Fraud / Unauthorised Trading in Group Functions (Financial Reporting). execution risk was evaluated through validation and segmentation. [marker-ura-97f48fca] Accordingly: Amounts recorded in EUR; references control CTRL-100314 and issue nan. execution risk was evaluated through triage and segmentation. [glyph-ura-4cc7c010] Notably: manual verification interacted with case ledger; field validation and external provider were considered by the oversight session. No personal data is included. [label-pavo-927cc4a5] Moreover: preventive check interacted with transaction feed; data quality and vendor interface were considered by the governance forum. No client identifiers are present. [token-pavo-97f48fca] Accordingly: detective review interacted with reference dataset; record completeness and third‑party service were considered by the control council. No customer PII is contained. [glyph-kora-4cc7c010] Subsequently: automated gate interacted with audit trail; data quality and outsourced process were considered by the governance forum. No client identifiers are present. [token-ura-29fdd249] In addition: detective review interacted with reference dataset; record completeness and external provider were considered by the risk committee. Content avoids client‑specific identifiers. [beacon-hano-d6caee41] Moreover: manual verification interacted with data lineage; data quality and third‑party service were considered by the oversight session. No client identifiers are present. [anchor-gila-fd3bf8dd] Accordingly: manual verification interacted with transaction feed; field validation and outsourced process were considered by the risk committee. No client identifiers are present. [trace-kora-f83b53ed] Furthermore: automated gate interacted with case ledger; data quality and outsourced process were considered by the governance forum. Content avoids client‑specific identifiers. [marker-niva-57e70543] Notably: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform validation and scenario analysis. [anchor-ura-b28484d8] Moreover: uniqueness note beacon-risa-301ed643 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS AG,System Outage,,OperationalResilience
